"","DataTimestampUTC","DataTimestampLOCAL","SaveTimestampLOCAL","C_bKfz_Wert","C_bKfz_Status","C_qKfz_Wert","C_qKfz_Status","C_vKfz_Wert","C_vKfz_Status","C_ConcertStatus","C_TDCDetailStatus","C_IncidentAlarms_Wert","C_IncidentAlarms_Status","C_Dependance","C_Availability"
"1",2015-03-16 22:00:01,2015-03-17 00:00:01,2015-03-17 00:08:38,0,32,0,40,35,38,1,40,0,50,-1,1
"2",2015-03-16 22:01:31,2015-03-17 00:01:31,2015-03-17 00:10:03,0,32,0,40,35,38,1,40,0,50,-1,1
"3",2015-03-16 22:04:31,2015-03-17 00:04:31,2015-03-17 00:13:02,1,32,80,32,35,32,1,32,0,50,-1,1
"4",2015-03-16 22:06:01,2015-03-17 00:06:01,2015-03-17 00:15:11,0,32,40,32,35,38,1,38,0,50,-1,1
"5",2015-03-16 22:10:31,2015-03-17 00:10:31,2015-03-17 00:19:09,0,32,0,40,35,38,1,40,0,50,-1,1
"6",2015-03-16 22:12:01,2015-03-17 00:12:01,2015-03-17 00:21:24,0,32,0,40,35,38,1,40,0,50,-1,1
"7",2015-03-16 22:13:31,2015-03-17 00:13:31,2015-03-17 00:22:12,0,32,0,40,35,38,1,40,0,50,-1,1
"8",2015-03-16 22:15:01,2015-03-17 00:15:01,2015-03-17 00:24:25,0,32,0,40,35,38,1,40,0,50,-1,1
"9",2015-03-16 22:16:31,2015-03-17 00:16:31,2015-03-17 00:25:18,0,32,0,40,35,38,1,40,0,50,-1,1
"10",2015-03-16 22:18:01,2015-03-17 00:18:01,2015-03-17 00:26:44,0,32,40,32,35,38,1,38,0,50,-1,1
"11",2015-03-16 22:19:31,2015-03-17 00:19:31,2015-03-17 00:28:28,0,32,0,40,35,38,1,40,0,50,-1,1
"12",2015-03-16 22:21:01,2015-03-17 00:21:01,2015-03-17 00:30:05,1,32,80,32,35,32,1,32,0,50,-1,1
"13",2015-03-16 22:22:31,2015-03-17 00:22:31,2015-03-17 00:31:23,0,32,0,40,35,38,1,40,0,50,-1,1
"14",2015-03-16 22:25:31,2015-03-17 00:25:31,2015-03-17 00:34:17,0,32,0,40,35,38,1,40,0,50,-1,1
"15",2015-03-16 22:27:01,2015-03-17 00:27:01,2015-03-17 00:36:28,0,32,0,40,35,38,1,40,0,50,-1,1
"16",2015-03-16 22:28:31,2015-03-17 00:28:31,2015-03-17 00:37:09,0,32,0,40,35,38,1,40,0,50,-1,1
"17",2015-03-16 22:30:01,2015-03-17 00:30:01,2015-03-17 00:38:42,0,32,0,40,35,38,1,40,0,50,-1,1
"18",2015-03-16 22:31:31,2015-03-17 00:31:31,2015-03-17 00:40:21,0,32,0,40,35,38,1,40,0,50,-1,1
"19",2015-03-16 22:33:01,2015-03-17 00:33:01,2015-03-17 00:41:51,0,32,0,40,35,38,1,40,0,50,-1,1
"20",2015-03-16 22:34:31,2015-03-17 00:34:31,2015-03-17 00:43:21,0,32,0,40,35,38,1,40,0,50,-1,1
"21",2015-03-16 22:36:01,2015-03-17 00:36:01,2015-03-17 00:44:46,0,32,0,40,35,38,1,40,0,50,-1,1
