"","DataTimestampUTC","DataTimestampLOCAL","SaveTimestampLOCAL","C_bKfz_Wert","C_bKfz_Status","C_qKfz_Wert","C_qKfz_Status","C_vKfz_Wert","C_vKfz_Status","C_ConcertStatus","C_TDCDetailStatus","C_IncidentAlarms_Wert","C_IncidentAlarms_Status","C_Dependance","C_Availability"
"1",2015-03-16 22:03:01,2015-03-17 00:03:01,2015-03-17 00:11:20,5,32,80,32,5,32,1,32,0,50,-1,1
"2",2015-03-16 22:15:01,2015-03-17 00:15:01,2015-03-17 00:23:22,10,32,80,32,5,32,1,32,0,50,-1,1
"3",2015-03-16 22:55:31,2015-03-17 00:55:31,2015-03-17 01:03:46,3,32,80,32,8,32,1,32,0,50,-1,1
"4",2015-03-16 22:58:31,2015-03-17 00:58:31,2015-03-17 01:06:40,0,32,0,40,9,38,1,40,0,50,-1,1
"5",2015-03-16 23:07:31,2015-03-17 01:07:31,2015-03-17 01:15:42,5,32,40,32,0,32,1,32,0,50,-1,1
"6",2015-03-16 23:13:31,2015-03-17 01:13:31,2015-03-17 01:21:52,0,32,0,40,13,38,1,40,0,50,-1,1
"7",2015-03-16 23:15:01,2015-03-17 01:15:01,2015-03-17 01:23:26,5,32,80,32,5,32,1,32,0,50,-1,1
"8",2015-03-16 23:22:31,2015-03-17 01:22:31,2015-03-17 01:30:27,19,32,40,32,1,32,1,32,0,50,-1,1
"9",2015-03-16 23:25:31,2015-03-17 01:25:31,2015-03-17 01:33:53,6,32,40,32,13,32,1,32,0,50,-1,1
"10",2015-03-16 23:30:01,2015-03-17 01:30:01,2015-03-17 01:38:59,0,32,0,40,13,38,1,40,0,50,-1,1
"11",2015-03-16 23:33:01,2015-03-17 01:33:01,2015-03-17 01:41:23,0,32,0,40,13,38,1,40,0,50,-1,1
"12",2015-03-16 23:46:31,2015-03-17 01:46:31,2015-03-17 01:55:37,6,32,40,32,5,32,1,32,0,50,-1,1
"13",2015-03-16 23:49:31,2015-03-17 01:49:31,2015-03-17 01:58:06,16,32,40,32,0,32,1,32,0,50,-1,1
"14",2015-03-16 23:51:01,2015-03-17 01:51:01,2015-03-17 01:59:12,0,32,40,32,8,38,1,38,0,50,-1,1
"15",2015-03-17 00:00:01,2015-03-17 02:00:01,2015-03-17 02:08:12,0,32,0,40,13,38,1,40,0,50,-1,1
"16",2015-03-17 00:07:31,2015-03-17 02:07:31,2015-03-17 02:16:31,17,32,120,32,4,32,1,32,0,50,-1,1
"17",2015-03-17 00:15:01,2015-03-17 02:15:01,2015-03-17 02:23:26,10,32,80,32,1,32,1,32,0,50,-1,1
"18",2015-03-17 00:19:31,2015-03-17 02:19:31,2015-03-17 02:27:57,7,32,80,32,1,32,1,32,0,50,-1,1
"19",2015-03-17 00:21:01,2015-03-17 02:21:01,2015-03-17 02:29:34,6,32,240,32,9,32,1,32,0,50,-1,1
"20",2015-03-17 00:25:31,2015-03-17 02:25:31,2015-03-17 02:33:59,8,32,80,32,1,32,1,32,0,50,-1,1
"21",2015-03-17 00:28:31,2015-03-17 02:28:31,2015-03-17 02:36:57,0,32,0,40,13,38,1,40,0,50,-1,1
"22",2015-03-17 00:30:01,2015-03-17 02:30:01,2015-03-17 02:38:33,0,32,0,40,13,38,1,40,0,50,-1,1
