"","DataTimestampUTC","DataTimestampLOCAL","SaveTimestampLOCAL","C_bKfz_Wert","C_bKfz_Status","C_qKfz_Wert","C_qKfz_Status","C_vKfz_Wert","C_vKfz_Status","C_ConcertStatus","C_TDCDetailStatus","C_IncidentAlarms_Wert","C_IncidentAlarms_Status","C_Dependance","C_Availability"
"1",2015-03-16 22:16:31,2015-03-17 00:16:31,2015-03-17 00:24:51,10,32,40,32,1,32,1,32,0,50,-1,1
"2",2015-03-16 22:54:01,2015-03-17 00:54:01,2015-03-17 01:02:13,0,32,0,40,7,38,1,40,0,50,-1,1
"3",2015-03-16 22:55:31,2015-03-17 00:55:31,2015-03-17 01:03:34,0,32,0,40,7,38,1,40,0,50,-1,1
"4",2015-03-16 22:58:31,2015-03-17 00:58:31,2015-03-17 01:06:29,10,32,40,32,2,32,1,32,0,50,-1,1
"5",2015-03-16 23:07:31,2015-03-17 01:07:31,2015-03-17 01:15:32,5,32,0,40,7,38,1,40,0,50,-1,1
"6",2015-03-16 23:30:01,2015-03-17 01:30:01,2015-03-17 01:38:42,0,32,0,40,7,38,1,40,0,50,-1,1
"7",2015-03-16 23:46:31,2015-03-17 01:46:31,2015-03-17 01:55:27,0,32,0,40,7,38,1,40,0,50,-1,1
"8",2015-03-16 23:49:31,2015-03-17 01:49:31,2015-03-17 01:57:54,0,32,0,40,7,38,1,40,0,50,-1,1
"9",2015-03-16 23:51:01,2015-03-17 01:51:01,2015-03-17 01:59:01,0,32,0,40,7,38,1,40,0,50,-1,1
"10",2015-03-17 00:00:01,2015-03-17 02:00:01,2015-03-17 02:08:02,0,32,0,40,7,38,1,40,0,50,-1,1
"11",2015-03-17 00:01:31,2015-03-17 02:01:31,2015-03-17 02:09:39,0,32,0,40,7,38,1,40,0,50,-1,1
"12",2015-03-17 00:07:31,2015-03-17 02:07:31,2015-03-17 02:16:20,0,32,0,40,7,38,1,40,0,50,-1,1
"13",2015-03-17 00:16:31,2015-03-17 02:16:31,2015-03-17 02:24:54,0,32,0,40,7,38,1,40,0,50,-1,1
"14",2015-03-17 00:27:01,2015-03-17 02:27:01,2015-03-17 02:35:23,0,32,0,40,7,38,1,40,0,50,-1,1
"15",2015-03-17 00:33:01,2015-03-17 02:33:01,2015-03-17 02:41:30,0,32,0,40,7,38,1,40,0,50,-1,1
"16",2015-03-17 00:42:01,2015-03-17 02:42:01,2015-03-17 02:50:23,10,32,40,32,2,32,1,32,0,50,-1,1
"17",2015-03-17 01:07:31,2015-03-17 03:07:31,2015-03-17 03:15:54,0,32,0,40,7,38,1,40,0,50,-1,1
"18",2015-03-17 01:09:01,2015-03-17 03:09:01,2015-03-17 03:17:23,0,32,0,40,7,38,1,40,0,50,-1,1
"19",2015-03-17 01:16:31,2015-03-17 03:16:31,2015-03-17 03:24:56,0,32,0,40,7,38,1,40,0,50,-1,1
"20",2015-03-17 01:22:31,2015-03-17 03:22:31,2015-03-17 03:30:53,0,32,0,40,7,38,1,40,0,50,-1,1
"21",2015-03-17 01:33:01,2015-03-17 03:33:01,2015-03-17 03:41:24,0,32,0,40,7,38,1,40,0,50,-1,1
"22",2015-03-17 01:48:01,2015-03-17 03:48:01,2015-03-17 03:57:16,1,32,40,32,7,32,1,32,0,50,-1,1
"23",2015-03-17 01:51:01,2015-03-17 03:51:01,2015-03-17 03:59:24,0,32,0,40,7,38,1,40,0,50,-1,1
"24",2015-03-17 02:00:01,2015-03-17 04:00:01,2015-03-17 04:09:12,0,32,0,40,7,38,1,40,0,50,-1,1
"25",2015-03-17 02:03:01,2015-03-17 04:03:01,2015-03-17 04:11:24,0,32,0,40,7,38,1,40,0,50,-1,1
"26",2015-03-17 02:25:31,2015-03-17 04:25:31,2015-03-17 04:33:53,0,32,0,40,7,38,1,40,0,50,-1,1
"27",2015-03-17 02:54:01,2015-03-17 04:54:01,2015-03-17 05:02:12,0,32,0,40,7,38,1,40,0,50,-1,1
"28",2015-03-17 02:55:31,2015-03-17 04:55:31,2015-03-17 05:03:42,0,32,0,40,7,38,1,40,0,50,-1,1
"29",2015-03-17 02:58:31,2015-03-17 04:58:31,2015-03-17 05:06:44,0,32,0,40,7,61,1,61,0,50,-1,1
"30",2015-03-17 03:48:01,2015-03-17 05:48:01,2015-03-17 05:56:20,20,32,40,32,0,32,1,32,0,50,-1,1
"31",2015-03-17 04:30:01,2015-03-17 06:30:01,2015-03-17 06:38:35,10,32,0,40,1,38,1,40,0,50,-1,1
"32",2015-03-17 05:06:01,2015-03-17 07:06:01,2015-03-17 07:14:25,20,32,0,40,1,38,1,40,0,50,-1,1
"33",2015-03-17 05:24:01,2015-03-17 07:24:01,2015-03-17 07:32:30,51,32,160,32,1,32,1,32,0,50,-1,1
"34",2015-03-17 05:25:31,2015-03-17 07:25:31,2015-03-17 07:33:58,56,32,80,32,1,32,1,32,0,50,-1,1
"35",2015-03-17 05:27:01,2015-03-17 07:27:01,2015-03-17 07:35:28,61,32,200,32,2,32,1,32,0,50,-1,1
"36",2015-03-17 05:31:31,2015-03-17 07:31:31,2015-03-17 07:39:57,71,32,40,32,0,32,1,32,0,50,-1,1
"37",2015-03-17 05:34:31,2015-03-17 07:34:31,2015-03-17 07:42:54,10,32,120,32,3,32,1,32,0,50,-1,1
"38",2015-03-17 05:36:01,2015-03-17 07:36:01,2015-03-17 07:44:32,15,32,80,32,1,32,1,32,0,50,-1,1
"39",2015-03-17 05:37:31,2015-03-17 07:37:31,2015-03-17 07:46:09,20,42,0,40,1,38,1,42,0,50,-1,1
"40",2015-03-17 05:39:01,2015-03-17 07:39:01,2015-03-17 07:47:30,25,32,200,32,2,32,1,32,0,50,-1,1
"41",2015-03-17 05:40:31,2015-03-17 07:40:31,2015-03-17 07:49:05,30,32,280,32,2,32,1,32,0,50,-1,1
"42",2015-03-17 05:42:01,2015-03-17 07:42:01,2015-03-17 07:50:32,35,32,160,32,1,32,1,32,0,50,-1,1
"43",2015-03-17 05:43:31,2015-03-17 07:43:31,2015-03-17 07:52:04,40,42,0,40,1,38,1,42,0,50,-1,1
"44",2015-03-17 05:45:01,2015-03-17 07:45:01,2015-03-17 07:53:36,45,32,200,32,1,32,1,32,0,50,-1,1
"45",2015-03-17 05:46:31,2015-03-17 07:46:31,2015-03-17 07:55:03,50,32,200,32,1,32,1,32,0,50,-1,1
"46",2015-03-17 05:51:01,2015-03-17 07:51:01,2015-03-17 07:59:27,61,32,160,32,2,32,1,32,0,50,-1,1
"47",2015-03-17 05:52:31,2015-03-17 07:52:31,2015-03-17 08:00:57,48,32,80,32,1,32,1,32,0,50,-1,1
"48",2015-03-17 05:55:31,2015-03-17 07:55:31,2015-03-17 08:04:00,50,32,0,40,1,38,1,40,0,50,-1,1
"49",2015-03-17 05:57:01,2015-03-17 07:57:01,2015-03-17 08:05:38,52,32,40,32,1,32,1,32,0,50,-1,1
"50",2015-03-17 05:58:31,2015-03-17 07:58:31,2015-03-17 08:06:59,57,32,200,32,1,32,1,32,0,50,-1,1
"51",2015-03-17 06:00:01,2015-03-17 08:00:01,2015-03-17 08:08:32,62,32,120,32,1,32,1,32,0,50,-1,1
"52",2015-03-17 06:01:31,2015-03-17 08:01:31,2015-03-17 08:10:04,67,32,0,40,1,38,1,40,0,50,-1,1
"53",2015-03-17 06:03:01,2015-03-17 08:03:01,2015-03-17 08:11:37,72,32,80,32,1,32,1,32,0,50,-1,1
"54",2015-03-17 06:04:31,2015-03-17 08:04:31,2015-03-17 08:13:10,77,32,120,32,1,32,1,32,0,50,-1,1
"55",2015-03-17 06:06:01,2015-03-17 08:06:01,2015-03-17 08:14:38,82,32,320,32,2,32,1,32,0,50,-1,1
"56",2015-03-17 06:07:31,2015-03-17 08:07:31,2015-03-17 08:16:00,87,42,120,40,2,38,1,42,0,50,-1,1
"57",2015-03-17 06:09:01,2015-03-17 08:09:01,2015-03-17 08:17:37,92,32,200,32,1,32,1,32,0,50,-1,1
"58",2015-03-17 06:10:31,2015-03-17 08:10:31,2015-03-17 08:19:01,51,32,80,32,1,32,1,32,0,50,-1,1
"59",2015-03-17 06:12:01,2015-03-17 08:12:01,2015-03-17 08:20:28,56,32,120,32,1,32,1,32,0,50,-1,1
"60",2015-03-17 06:13:31,2015-03-17 08:13:31,2015-03-17 08:22:15,61,32,0,40,1,38,1,40,0,50,-1,1
"61",2015-03-17 06:15:01,2015-03-17 08:15:01,2015-03-17 08:23:46,66,32,200,32,1,32,1,32,0,50,-1,1
"62",2015-03-17 06:16:31,2015-03-17 08:16:31,2015-03-17 08:25:05,71,32,200,32,1,32,1,32,0,50,-1,1
"63",2015-03-17 06:18:01,2015-03-17 08:18:01,2015-03-17 08:26:32,76,42,0,40,1,38,1,42,0,50,-1,1
"64",2015-03-17 06:19:31,2015-03-17 08:19:31,2015-03-17 08:28:01,81,32,200,32,3,32,1,32,0,50,-1,1
