"","DataTimestampUTC","DataTimestampLOCAL","SaveTimestampLOCAL","C_bKfz_Wert","C_bKfz_Status","C_qKfz_Wert","C_qKfz_Status","C_vKfz_Wert","C_vKfz_Status","C_ConcertStatus","C_TDCDetailStatus","C_IncidentAlarms_Wert","C_IncidentAlarms_Status","C_Dependance","C_Availability"
"1",2015-03-16 22:00:01,2015-03-17 00:00:01,2015-03-17 00:09:43,0,32,0,40,15,38,1,40,0,50,-1,1
"2",2015-03-16 22:01:31,2015-03-17 00:01:31,2015-03-17 00:11:04,0,32,0,40,15,38,1,40,0,50,-1,1
"3",2015-03-16 22:03:01,2015-03-17 00:03:01,2015-03-17 00:12:38,0,32,0,40,15,38,1,40,0,50,-1,1
"4",2015-03-16 22:04:31,2015-03-17 00:04:31,2015-03-17 00:14:04,0,32,0,40,15,38,1,40,0,50,-1,1
"5",2015-03-16 22:06:01,2015-03-17 00:06:01,2015-03-17 00:15:34,0,32,0,40,15,38,1,40,0,50,-1,1
"6",2015-03-16 22:07:31,2015-03-17 00:07:31,2015-03-17 00:16:58,1,32,40,32,15,32,1,32,0,50,-1,1
"7",2015-03-16 22:09:01,2015-03-17 00:09:01,2015-03-17 00:18:34,0,32,0,40,15,38,1,40,0,50,-1,1
"8",2015-03-16 22:10:31,2015-03-17 00:10:31,2015-03-17 00:20:03,0,32,0,40,15,38,1,40,0,50,-1,1
"9",2015-03-16 22:12:01,2015-03-17 00:12:01,2015-03-17 00:21:45,0,32,0,40,15,38,1,40,0,50,-1,1
"10",2015-03-16 22:13:31,2015-03-17 00:13:31,2015-03-17 00:22:34,0,32,0,40,15,38,1,40,0,50,-1,1
"11",2015-03-16 22:15:01,2015-03-17 00:15:01,2015-03-17 00:24:45,0,32,0,40,15,38,1,40,0,50,-1,1
"12",2015-03-16 22:16:31,2015-03-17 00:16:31,2015-03-17 00:26:18,0,32,0,40,15,38,1,40,0,50,-1,1
"13",2015-03-16 22:18:01,2015-03-17 00:18:01,2015-03-17 00:27:07,0,32,0,40,15,38,1,40,0,50,-1,1
"14",2015-03-16 22:21:01,2015-03-17 00:21:01,2015-03-17 00:30:46,0,32,0,40,15,38,1,40,0,50,-1,1
"15",2015-03-16 22:22:31,2015-03-17 00:22:31,2015-03-17 00:31:49,0,32,0,40,15,38,1,40,0,50,-1,1
"16",2015-03-16 22:24:01,2015-03-17 00:24:01,2015-03-17 00:33:10,0,32,0,40,15,38,1,40,0,50,-1,1
"17",2015-03-16 22:25:31,2015-03-17 00:25:31,2015-03-17 00:35:01,0,32,0,40,15,38,1,40,0,50,-1,1
"18",2015-03-16 22:28:31,2015-03-17 00:28:31,2015-03-17 00:38:17,0,32,0,40,15,38,1,40,0,50,-1,1
"19",2015-03-16 22:34:31,2015-03-17 00:34:31,2015-03-17 00:43:48,0,32,0,40,15,38,1,40,0,50,-1,1
"20",2015-03-16 22:37:31,2015-03-17 00:37:31,2015-03-17 00:47:03,0,32,0,40,15,38,1,40,0,50,-1,1
"21",2015-03-16 22:39:01,2015-03-17 00:39:01,2015-03-17 00:48:28,0,32,0,40,15,38,1,40,0,50,-1,1
"22",2015-03-16 22:40:31,2015-03-17 00:40:31,2015-03-17 00:49:58,0,32,0,40,15,38,1,40,0,50,-1,1
"23",2015-03-16 22:42:01,2015-03-17 00:42:01,2015-03-17 00:51:36,0,32,0,40,15,38,1,40,0,50,-1,1
"24",2015-03-16 22:46:31,2015-03-17 00:46:31,2015-03-17 00:55:59,0,32,0,40,15,38,1,40,0,50,-1,1
"25",2015-03-16 22:48:01,2015-03-17 00:48:01,2015-03-17 00:57:20,0,32,0,40,15,38,1,40,0,50,-1,1
"26",2015-03-16 22:49:31,2015-03-17 00:49:31,2015-03-17 00:59:02,0,32,0,40,15,38,1,40,0,50,-1,1
"27",2015-03-16 22:52:31,2015-03-17 00:52:31,2015-03-17 01:01:27,0,32,0,40,15,38,1,40,0,50,-1,1
"28",2015-03-16 22:54:01,2015-03-17 00:54:01,2015-03-17 01:02:56,0,32,0,40,15,38,1,40,0,50,-1,1
"29",2015-03-16 22:57:01,2015-03-17 00:57:01,2015-03-17 01:05:53,0,32,0,40,15,38,1,40,0,50,-1,1
"30",2015-03-16 23:00:01,2015-03-17 01:00:01,2015-03-17 01:09:28,0,32,0,40,15,38,1,40,0,50,-1,1
"31",2015-03-16 23:01:31,2015-03-17 01:01:31,2015-03-17 01:10:58,0,32,0,40,15,38,1,40,0,50,-1,1
"32",2015-03-16 23:04:31,2015-03-17 01:04:31,2015-03-17 01:14:06,0,32,0,40,15,38,1,40,0,50,-1,1
"33",2015-03-16 23:09:01,2015-03-17 01:09:01,2015-03-17 01:17:46,0,32,0,40,15,38,1,40,0,50,-1,1
"34",2015-03-16 23:15:01,2015-03-17 01:15:01,2015-03-17 01:24:29,0,32,0,40,15,38,1,40,0,50,-1,1
"35",2015-03-16 23:18:01,2015-03-17 01:18:01,2015-03-17 01:26:51,0,32,0,40,15,38,1,40,0,50,-1,1
"36",2015-03-16 23:19:31,2015-03-17 01:19:31,2015-03-17 01:29:13,0,32,0,40,15,38,1,40,0,50,-1,1
