"","DataTimestampUTC","DataTimestampLOCAL","SaveTimestampLOCAL","C_bKfz_Wert","C_bKfz_Status","C_qKfz_Wert","C_qKfz_Status","C_vKfz_Wert","C_vKfz_Status","C_ConcertStatus","C_TDCDetailStatus","C_IncidentAlarms_Wert","C_IncidentAlarms_Status","C_Dependance","C_Availability"
"1",2015-03-16 22:03:01,2015-03-17 00:03:01,2015-03-17 00:12:12,5,32,40,32,11,32,1,32,0,50,-1,1
"2",2015-03-16 22:04:31,2015-03-17 00:04:31,2015-03-17 00:12:52,10,32,160,32,3,32,1,32,0,50,-1,1
"3",2015-03-16 22:06:01,2015-03-17 00:06:01,2015-03-17 00:14:51,3,32,120,32,11,32,1,32,0,50,-1,1
"4",2015-03-16 22:12:01,2015-03-17 00:12:01,2015-03-17 00:21:05,6,32,120,32,19,32,1,32,0,50,-1,1
"5",2015-03-16 22:15:01,2015-03-17 00:15:01,2015-03-17 00:24:06,6,32,40,32,11,32,1,32,0,50,-1,1
"6",2015-03-16 22:16:31,2015-03-17 00:16:31,2015-03-17 00:24:57,0,32,0,40,19,38,1,40,0,50,-1,1
"7",2015-03-16 22:18:01,2015-03-17 00:18:01,2015-03-17 00:26:27,0,32,0,40,19,38,1,40,0,50,-1,1
"8",2015-03-16 22:19:31,2015-03-17 00:19:31,2015-03-17 00:27:57,5,32,40,32,19,32,1,32,0,50,-1,1
"9",2015-03-16 22:21:01,2015-03-17 00:21:01,2015-03-17 00:29:37,0,32,0,40,19,38,1,40,0,50,-1,1
"10",2015-03-16 22:22:31,2015-03-17 00:22:31,2015-03-17 00:31:01,0,32,40,32,19,38,1,38,0,50,-1,1
"11",2015-03-16 22:25:31,2015-03-17 00:25:31,2015-03-17 00:33:59,0,32,0,40,19,38,1,40,0,50,-1,1
"12",2015-03-16 22:27:01,2015-03-17 00:27:01,2015-03-17 00:36:08,2,32,80,32,19,32,1,32,0,50,-1,1
"13",2015-03-16 22:31:31,2015-03-17 00:31:31,2015-03-17 00:40:01,0,32,0,40,19,38,1,40,0,50,-1,1
