"","DataTimestampUTC","DataTimestampLOCAL","SaveTimestampLOCAL","C_bKfz_Wert","C_bKfz_Status","C_qKfz_Wert","C_qKfz_Status","C_vKfz_Wert","C_vKfz_Status","C_ConcertStatus","C_TDCDetailStatus","C_IncidentAlarms_Wert","C_IncidentAlarms_Status","C_Dependance","C_Availability"
"1",2015-03-16 22:12:01,2015-03-17 00:12:01,2015-03-17 00:20:20,0,32,0,40,15,38,1,40,0,50,-1,1
"2",2015-03-16 22:55:31,2015-03-17 00:55:31,2015-03-17 01:03:40,0,32,0,40,15,38,1,40,0,50,-1,1
"3",2015-03-16 22:58:31,2015-03-17 00:58:31,2015-03-17 01:06:35,5,32,40,32,7,32,1,32,0,50,-1,1
"4",2015-03-16 23:07:31,2015-03-17 01:07:31,2015-03-17 01:15:37,5,32,120,32,7,32,1,32,0,50,-1,1
"5",2015-03-16 23:22:31,2015-03-17 01:22:31,2015-03-17 01:30:26,5,32,120,32,9,32,1,32,0,50,-1,1
"6",2015-03-16 23:28:31,2015-03-17 01:28:31,2015-03-17 01:36:53,0,32,0,40,15,38,1,40,0,50,-1,1
"7",2015-03-16 23:30:01,2015-03-17 01:30:01,2015-03-17 01:38:51,5,32,80,32,7,32,1,32,0,50,-1,1
"8",2015-03-16 23:43:31,2015-03-17 01:43:31,2015-03-17 01:51:54,0,32,0,40,15,38,1,40,0,50,-1,1
"9",2015-03-16 23:46:31,2015-03-17 01:46:31,2015-03-17 01:55:39,0,32,0,40,15,38,1,40,0,50,-1,1
"10",2015-03-16 23:49:31,2015-03-17 01:49:31,2015-03-17 01:58:07,0,32,0,40,15,38,1,40,0,50,-1,1
"11",2015-03-16 23:51:01,2015-03-17 01:51:01,2015-03-17 01:59:13,0,32,0,40,15,38,1,40,0,50,-1,1
"12",2015-03-17 00:00:01,2015-03-17 02:00:01,2015-03-17 02:08:14,7,32,40,32,15,32,1,32,0,50,-1,1
"13",2015-03-17 00:07:31,2015-03-17 02:07:31,2015-03-17 02:16:32,0,32,0,40,11,38,1,40,0,50,-1,1
"14",2015-03-17 00:15:01,2015-03-17 02:15:01,2015-03-17 02:23:27,0,32,0,40,15,38,1,40,0,50,-1,1
"15",2015-03-17 00:19:31,2015-03-17 02:19:31,2015-03-17 02:27:57,6,32,40,32,7,32,1,32,0,50,-1,1
"16",2015-03-17 00:21:01,2015-03-17 02:21:01,2015-03-17 02:29:34,0,32,0,40,15,38,1,40,0,50,-1,1
"17",2015-03-17 00:25:31,2015-03-17 02:25:31,2015-03-17 02:34:00,0,32,0,40,15,38,1,40,0,50,-1,1
"18",2015-03-17 00:28:31,2015-03-17 02:28:31,2015-03-17 02:36:58,0,32,0,40,15,38,1,40,0,50,-1,1
"19",2015-03-17 00:30:01,2015-03-17 02:30:01,2015-03-17 02:38:34,0,32,0,40,15,38,1,40,0,50,-1,1
"20",2015-03-17 00:33:01,2015-03-17 02:33:01,2015-03-17 02:41:42,0,32,0,40,15,38,1,40,0,50,-1,1
"21",2015-03-17 00:34:31,2015-03-17 02:34:31,2015-03-17 02:43:13,5,32,40,32,15,32,1,32,0,50,-1,1
"22",2015-03-17 00:36:01,2015-03-17 02:36:01,2015-03-17 02:44:26,0,32,0,40,15,38,1,40,0,50,-1,1
"23",2015-03-17 00:37:31,2015-03-17 02:37:31,2015-03-17 02:46:03,3,32,40,32,15,32,1,32,0,50,-1,1
"24",2015-03-17 00:39:01,2015-03-17 02:39:01,2015-03-17 02:47:31,8,32,40,32,7,32,1,32,0,50,-1,1
"25",2015-03-17 00:43:31,2015-03-17 02:43:31,2015-03-17 02:52:02,2,32,40,32,15,32,1,32,0,50,-1,1
"26",2015-03-17 00:45:01,2015-03-17 02:45:01,2015-03-17 02:53:29,0,32,0,40,15,38,1,40,0,50,-1,1
"27",2015-03-17 00:48:01,2015-03-17 02:48:01,2015-03-17 02:56:30,8,32,40,32,3,32,1,32,0,50,-1,1
"28",2015-03-17 00:49:31,2015-03-17 02:49:31,2015-03-17 02:57:59,0,32,0,40,11,38,1,40,0,50,-1,1
"29",2015-03-17 00:51:01,2015-03-17 02:51:01,2015-03-17 02:59:53,0,32,0,40,15,38,1,40,0,50,-1,1
"30",2015-03-17 01:01:31,2015-03-17 03:01:31,2015-03-17 03:10:04,0,32,0,40,15,38,1,40,0,50,-1,1
"31",2015-03-17 01:03:01,2015-03-17 03:03:01,2015-03-17 03:11:33,0,32,0,40,15,38,1,40,0,50,-1,1
"32",2015-03-17 01:04:31,2015-03-17 03:04:31,2015-03-17 03:12:59,0,32,0,40,15,38,1,40,0,50,-1,1
"33",2015-03-17 01:06:01,2015-03-17 03:06:01,2015-03-17 03:14:27,0,32,0,40,15,38,1,40,0,50,-1,1
"34",2015-03-17 01:07:31,2015-03-17 03:07:31,2015-03-17 03:16:08,0,32,0,40,15,38,1,40,0,50,-1,1
"35",2015-03-17 01:10:31,2015-03-17 03:10:31,2015-03-17 03:18:55,2,32,40,32,15,32,1,32,0,50,-1,1
"36",2015-03-17 01:12:01,2015-03-17 03:12:01,2015-03-17 03:20:31,0,32,0,40,15,38,1,40,0,50,-1,1
"37",2015-03-17 01:16:31,2015-03-17 03:16:31,2015-03-17 03:25:11,0,32,0,40,15,38,1,40,0,50,-1,1
"38",2015-03-17 01:18:01,2015-03-17 03:18:01,2015-03-17 03:26:33,5,32,40,32,7,32,1,32,0,50,-1,1
"39",2015-03-17 01:19:31,2015-03-17 03:19:31,2015-03-17 03:28:06,0,32,0,40,15,38,1,40,0,50,-1,1
"40",2015-03-17 01:21:01,2015-03-17 03:21:01,2015-03-17 03:29:35,0,32,0,40,15,38,1,40,0,50,-1,1
"41",2015-03-17 01:22:31,2015-03-17 03:22:31,2015-03-17 03:31:04,1,32,40,32,15,32,1,32,0,50,-1,1
"42",2015-03-17 01:24:01,2015-03-17 03:24:01,2015-03-17 03:32:30,6,32,80,32,7,32,1,32,0,50,-1,1
"43",2015-03-17 01:25:31,2015-03-17 03:25:31,2015-03-17 03:34:03,0,32,0,40,15,38,1,40,0,50,-1,1
"44",2015-03-17 01:27:01,2015-03-17 03:27:01,2015-03-17 03:35:31,5,32,80,32,15,32,1,32,0,50,-1,1
"45",2015-03-17 01:30:01,2015-03-17 03:30:01,2015-03-17 03:38:24,2,32,40,32,15,32,1,32,0,50,-1,1
"46",2015-03-17 01:31:31,2015-03-17 03:31:31,2015-03-17 03:39:57,1,32,40,32,15,32,1,32,0,50,-1,1
"47",2015-03-17 01:33:01,2015-03-17 03:33:01,2015-03-17 03:41:30,0,32,0,40,15,38,1,40,0,50,-1,1
"48",2015-03-17 01:34:31,2015-03-17 03:34:31,2015-03-17 03:42:54,1,32,40,32,15,32,1,32,0,50,-1,1
"49",2015-03-17 01:36:01,2015-03-17 03:36:01,2015-03-17 03:44:35,0,32,0,40,15,38,1,40,0,50,-1,1
"50",2015-03-17 01:37:31,2015-03-17 03:37:31,2015-03-17 03:46:05,1,32,40,32,15,32,1,32,0,50,-1,1
"51",2015-03-17 01:39:01,2015-03-17 03:39:01,2015-03-17 03:47:37,1,32,40,32,15,32,1,32,0,50,-1,1
"52",2015-03-17 01:40:31,2015-03-17 03:40:31,2015-03-17 03:49:00,6,32,40,32,7,32,1,32,0,50,-1,1
"53",2015-03-17 01:42:01,2015-03-17 03:42:01,2015-03-17 03:50:36,0,32,0,40,15,38,1,40,0,50,-1,1
"54",2015-03-17 01:43:31,2015-03-17 03:43:31,2015-03-17 03:52:00,0,32,0,40,15,38,1,40,0,50,-1,1
"55",2015-03-17 01:45:01,2015-03-17 03:45:01,2015-03-17 03:53:40,0,32,0,40,15,38,1,40,0,50,-1,1
"56",2015-03-17 01:46:31,2015-03-17 03:46:31,2015-03-17 03:54:58,0,32,0,40,15,38,1,40,0,50,-1,1
"57",2015-03-17 01:48:01,2015-03-17 03:48:01,2015-03-17 03:57:30,0,32,0,40,15,38,1,40,0,50,-1,1
"58",2015-03-17 01:51:01,2015-03-17 03:51:01,2015-03-17 03:59:29,3,32,40,32,15,32,1,32,0,50,-1,1
"59",2015-03-17 01:52:31,2015-03-17 03:52:31,2015-03-17 04:00:52,0,32,0,40,15,38,1,40,0,50,-1,1
"60",2015-03-17 01:54:01,2015-03-17 03:54:01,2015-03-17 04:02:26,5,32,80,32,7,32,1,32,0,50,-1,1
"61",2015-03-17 01:55:31,2015-03-17 03:55:31,2015-03-17 04:04:03,10,32,80,32,5,32,1,32,0,50,-1,1
"62",2015-03-17 01:57:01,2015-03-17 03:57:01,2015-03-17 04:05:30,0,32,0,40,13,38,1,40,0,50,-1,1
"63",2015-03-17 01:58:31,2015-03-17 03:58:31,2015-03-17 04:07:14,0,32,0,40,15,38,1,40,0,50,-1,1
"64",2015-03-17 02:00:01,2015-03-17 04:00:01,2015-03-17 04:09:27,0,32,0,40,15,38,1,40,0,50,-1,1
"65",2015-03-17 02:01:31,2015-03-17 04:01:31,2015-03-17 04:09:55,0,32,0,40,15,38,1,40,0,50,-1,1
"66",2015-03-17 02:03:01,2015-03-17 04:03:01,2015-03-17 04:11:26,0,32,0,40,15,38,1,40,0,50,-1,1
"67",2015-03-17 02:04:31,2015-03-17 04:04:31,2015-03-17 04:12:59,5,32,40,32,7,32,1,32,0,50,-1,1
