"id","lat","lon","juosta","pavadinimas","kodas","map_id"
561,NULL,NULL,2,NULL,"VD1.2",311
562,NULL,NULL,1,NULL,"VD1.1",311
563,NULL,NULL,3,NULL,"VD5.3",311
564,NULL,NULL,2,NULL,"VD2.2",310
565,NULL,NULL,1,NULL,"VD2.1",310
566,NULL,NULL,2,NULL,"VD1.2",310
567,NULL,NULL,1,NULL,"VD1.1",310
569,NULL,NULL,2,NULL,"VD2.2",309
570,NULL,NULL,2,NULL,"VD1.2",309
571,NULL,NULL,1,NULL,"VD1.1",309
573,NULL,NULL,2,NULL,"VD2.2",308
574,NULL,NULL,1,NULL,"VD2.1",308
575,NULL,NULL,2,NULL,"VD1.2",308
576,NULL,NULL,1,NULL,"VD1.1",308
578,NULL,NULL,2,NULL,"VD7.2",306
579,NULL,NULL,1,NULL,"VD7.1",306
580,NULL,NULL,1,NULL,"VD6.1",306
581,NULL,NULL,1,NULL,"VD5.1",306
582,NULL,NULL,1,NULL,"VD4.1",306
583,NULL,NULL,2,NULL,"VD3.2",306
584,NULL,NULL,1,NULL,"VD3.1",306
585,NULL,NULL,2,NULL,"VD2.2",306
586,NULL,NULL,1,NULL,"VD2.1",306
587,NULL,NULL,1,NULL,"VD1.1",306
589,NULL,NULL,NULL,NULL,"211 D14",211
590,NULL,NULL,1,NULL,"VD2.1",556
591,NULL,NULL,1,NULL,"VD3.1",556
592,NULL,NULL,1,NULL,"VD4.1",556
593,NULL,NULL,NULL,NULL,"1005 D3",1005
594,NULL,NULL,NULL,NULL,"1005 D8",1005
595,NULL,NULL,NULL,NULL,"1009 D1",1009
596,NULL,NULL,2,NULL,"vd1.2",1009
597,NULL,NULL,3,NULL,"vd1.3",1009
598,NULL,NULL,1,NULL,"vd2.1",1009
599,NULL,NULL,2,NULL,"vd2.2",1009
600,NULL,NULL,1,NULL,"vd4.1",1009
601,NULL,NULL,1,NULL,"VD4.1",402
604,54.673557,25.200817,1,"Architektų / Erfurto sankryža","VD1.1",1029
605,54.673557,25.200817,2,"Architektų / Erfurto sankryža","VD1.2",1029
606,54.673557,25.200817,3,"Architektų / Erfurto sankryža","VD1.3",1029
607,54.674296,25.200946,1,"Architektų / Erfurto sankryža","VD2.1",1029
608,54.674296,25.200946,2,"Architektų / Erfurto sankryža","VD2.2",1029
609,54.674327,25.20204,1,"Architektų / Erfurto sankryža","VD3.1",1029
611,NULL,NULL,1,NULL,"VD3.1",304
612,NULL,NULL,2,NULL,"VD2.2",304
613,NULL,NULL,1,NULL,"VD2.1",304
614,NULL,NULL,2,NULL,"VD1.2",304
615,NULL,NULL,1,NULL,"VD1.1",304
617,NULL,NULL,2,NULL,"VD2.2",303
618,NULL,NULL,1,NULL,"VD2.1",303
619,NULL,NULL,2,NULL,"VD1.2",303
624,NULL,NULL,3,NULL,"VD7.3",302
625,NULL,NULL,2,NULL,"VD7.2",302
626,NULL,NULL,1,NULL,"VD7.1",302
627,NULL,NULL,3,NULL,"VD6.3",302
628,NULL,NULL,2,NULL,"VD6.2",302
629,NULL,NULL,1,NULL,"VD6.1",302
631,NULL,NULL,1,NULL,"VD5.1",302
632,NULL,NULL,2,NULL,"VD4.2",302
633,NULL,NULL,1,NULL,"VD4.1",302
634,NULL,NULL,1,NULL,"VD3.1",302
635,NULL,NULL,1,NULL,"VD2.1",302
636,NULL,NULL,2,NULL,"VD1.2",302
637,NULL,NULL,1,NULL,"VD1.1",302
640,NULL,NULL,1,NULL,"VD4.1",301
641,NULL,NULL,2,NULL,"VD3.2",301
642,NULL,NULL,1,NULL,"VD3.1",301
643,NULL,NULL,3,NULL,"VD2.3",301
644,NULL,NULL,2,NULL,"VD2.2",301
645,NULL,NULL,1,NULL,"VD2.1",301
646,NULL,NULL,2,NULL,"VD1.2",301
647,NULL,NULL,1,NULL,"VD1.1",301
648,NULL,NULL,2,NULL,"VD1.2",118
649,NULL,NULL,1,NULL,"VD8.1",259
650,NULL,NULL,1,NULL,"VD6.1",259
651,NULL,NULL,NULL,NULL,"VD52.",259
652,NULL,NULL,1,NULL,"VD5.1",259
653,NULL,NULL,1,NULL,"VD4.1",259
654,NULL,NULL,1,NULL,"VD3.1",259
655,NULL,NULL,1,NULL,"VD2.1",259
656,NULL,NULL,2,NULL,"VD1.2",259
657,NULL,NULL,1,NULL,"VD1.1",259
659,NULL,NULL,2,NULL,"VD4.2",258
660,NULL,NULL,2,NULL,"VD3.2",258
661,NULL,NULL,1,NULL,"VD3.1",258
662,NULL,NULL,2,NULL,"VD2.2",258
663,NULL,NULL,1,NULL,"VD2.1",258
664,NULL,NULL,1,NULL,"VD1.1",258
665,NULL,NULL,1,NULL,"VD6.1",257
666,NULL,NULL,1,NULL,"VD5.1",257
667,NULL,NULL,2,NULL,"VD4.2",257
668,NULL,NULL,1,NULL,"VD4.1",257
669,NULL,NULL,2,NULL,"VD3.2",257
670,NULL,NULL,2,NULL,"VD2.2",257
671,NULL,NULL,1,NULL,"VD2.1",257
672,NULL,NULL,1,NULL,"VD1.1",257
673,NULL,NULL,NULL,NULL,"D10",256
674,NULL,NULL,NULL,NULL,"D9",256
675,NULL,NULL,NULL,NULL,"D8",256
676,NULL,NULL,NULL,NULL,"D7",256
677,NULL,NULL,NULL,NULL,"D6",256
678,NULL,NULL,NULL,NULL,"D5",256
679,NULL,NULL,NULL,NULL,"D4",256
680,NULL,NULL,NULL,NULL,"D2",256
681,NULL,NULL,NULL,NULL,"D1",256
682,NULL,NULL,NULL,NULL,"D12",255
683,NULL,NULL,NULL,NULL,"D11",255
684,NULL,NULL,NULL,NULL,"D10",255
685,NULL,NULL,NULL,NULL,"D9",255
686,NULL,NULL,NULL,NULL,"D8",255
687,NULL,NULL,NULL,NULL,"D7",255
688,NULL,NULL,NULL,NULL,"D6",255
689,NULL,NULL,NULL,NULL,"D5",255
690,NULL,NULL,NULL,NULL,"255 D3",255
691,NULL,NULL,NULL,NULL,"D4",252
693,NULL,NULL,NULL,NULL,"D11",251
694,NULL,NULL,NULL,NULL,"D14",251
695,NULL,NULL,NULL,NULL,"D1",254
697,NULL,NULL,NULL,NULL,"D9",252
699,NULL,NULL,NULL,NULL,"D1",251
700,NULL,NULL,NULL,NULL,"D1",253
701,NULL,NULL,NULL,NULL,"D1",252
702,NULL,NULL,NULL,NULL,"D9",251
703,NULL,NULL,NULL,NULL,"D10",252
704,NULL,NULL,NULL,NULL,"D10",251
705,NULL,NULL,NULL,NULL,"D4",251
706,NULL,NULL,NULL,NULL,"D13",251
707,NULL,NULL,NULL,NULL,"D1",255
708,NULL,NULL,NULL,NULL,"D3",252
709,NULL,NULL,NULL,NULL,"D8",251
710,NULL,NULL,NULL,NULL,"D3",102
711,NULL,NULL,NULL,NULL,"D6",251
712,NULL,NULL,NULL,NULL,"D8",252
713,NULL,NULL,NULL,NULL,"251 D12",251
714,NULL,NULL,NULL,NULL,"D7",252
715,NULL,NULL,NULL,NULL,"D3",253
716,NULL,NULL,NULL,NULL,"D9",254
717,NULL,NULL,NULL,NULL,"D11",252
718,NULL,NULL,NULL,NULL,"D2",252
719,NULL,NULL,NULL,NULL,"D7",254
720,NULL,NULL,NULL,NULL,"D4",254
721,NULL,NULL,NULL,NULL,"D2",254
722,NULL,NULL,NULL,NULL,"D5",251
723,NULL,NULL,NULL,NULL,"D2",255
724,NULL,NULL,NULL,NULL,"D12",251
725,NULL,NULL,NULL,NULL,"D6",254
726,NULL,NULL,NULL,NULL,"D5",252
727,NULL,NULL,NULL,NULL,"D2",251
728,NULL,NULL,NULL,NULL,"D7",251
729,NULL,NULL,NULL,NULL,"D8",254
730,NULL,NULL,NULL,NULL,"D6",102
732,NULL,NULL,NULL,NULL,"D13",252
