K;FD;DET;;
1032 VD1.1;1032 D1;1829;;
1032 VD1.2;1032 D2;1830;;
1032 VD2.1;1032 D3;1832;;
1032 VD2.2;1032 D4;1837;;
1032 VD2.3;1032 D5;1836;;
1032 VD3.1;1032 D6;1838;;
1032 VD3.2;1032 D7;1833;;
1032 VD4.1;1032 D8;1831;;
1032 VD4.2;1032 D9;1834;;
1032 VD5.1;1032 D10;1835;;
103 VD2.1;103 D4;1081;;
103 VD2.2;103 D5;1082;;
103 VD2.3;103 D6;1083;;
104 VD1.1;104 D1;1094;;
104 VD2.1;104 D4;1097;;
104 VD2.2;104 D5;1098;;
104 VD2.3;104 D6;1099;;
104 VD3.1;104 D7;11;;
104 VD3.2;104 D8;110;;
104 VD3.3;104 D9;1100;;
105 D1;105 D10;1129;;
105 VD1.1;105 D1;1120;;
105 VD1.2;105 D2;1121;;
105 VD2.1;105 D3;1122;;
105 VD2.2;105 D4;1123;;
105 VD3.1;105 D5;1124;;
105 VD3.2;105 D6;1125;;
105 VD3.3;105 D7;1126;;
106 VD1.1;106 D1;1150;;
106 VD1.2;106 D2;1151;;
106 VD1.3;106 D3;1152;;
106 VD2.1;106 D4;1153;;
106 VD2.2;106 D5;1154;;
106 VD5.1;106 D8;1157;;
106 VD8.1;106 D11;116;;
107 VD1.1;107 D1;128;;
107 VD1.2;107 D2;129;;
107 VD1.3;107 D3;13;;
107 VD2.1;107 D4;130;;
107 VD2.2;107 D5;131;;
107 VD2.3;107 D6;132;;
107 VD3.1;107 D7;133;;
107 VD3.2;107 D8;134;;
107 VD6.1;107 D12;138;;
107 VD6.2;107 D13;139;;
108 VD1.1;108 D1;165;;
108 VD1.2;108 D2;166;;
108 VD2.1;108 D3;167;;
108 VD2.2;108 D4;168;;
109 VD1.1;109 D1;182;;
109 VD1.2;109 D2;183;;
109 VD4.1;109 D5;186;;
109 VD5.1;109 D6;187;;
109 VD5.2;109 D7;188;;
109 VD8.1;109 D10;190;;
110 VD2.1;110 D3;206;;
110 VD2.2;110 D4;207;;
110 VD2.3;110 D5;208;;
110 VD5.1;110 D8;210;;
110 VD5.2;110 D9;211;;
110 VD5.3;110 D10;212;;
110 VD6.1;110 D11;213;;
110 VD6.2;110 D12;214;;
111 VD1.1;111 D1;240;;
111 VD1.2;111 D2;241;;
111 VD4.1;111 D5;244;;
111 VD5.1;111 D6;245;;
111 VD5.2;111 D7;246;;
111 VD8.1;111 D10;249;;
112 VD1.1;112 D1;1178;;
112 VD1.2;112 D2;1160;;
112 VD3.1;112 D5;1179;;
112 VD3.2;112 D6;1174;;
112 VD6.1;112 D10;1161;;
112 VD7.1;112 D11;1176;;
113 VD1.1;113 D1;1162;;
